"Package","Version","LibPath","Built"
"scales","1.4.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"shape","1.4.6.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"snow","0.4-4","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"SparseArray","1.8.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"spatial","7.3-18","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"splines","4.5.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"statmod","1.5.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"stats","4.5.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"stats4","4.5.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"stringi","1.8.7","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"stringr","1.6.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"styler","1.11.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"SummarizedExperiment","1.38.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"survival","3.8-3","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"sys","3.4.3","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"systemfonts","1.3.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"tcltk","4.5.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"tibble","3.3.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"tidyr","1.3.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"tidyselect","1.2.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"tinytex","0.57","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"tools","4.5.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"tzdb","0.5.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"UCSC.utils","1.4.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"umap","0.2.10.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"utf8","1.2.6","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"utils","4.5.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.1"
"vctrs","0.6.5","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"viridisLite","0.4.2","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"vroom","1.6.6","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"withr","3.0.2","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"xfun","0.54","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"XML","3.99-0.19","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"xml2","1.4.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"xmlparsedata","1.0.5","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"XVector","0.48.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"yaml","2.3.10","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
